 	 [ServerAdmin : userquery]Training complete in 1.079148 real seconds 

DEBUG [2018-10-15 03:42:44] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 8992 
 	 [ServerAdmin : userquery]Training complete in 1.127984 real seconds 

DEBUG [2018-10-15 03:44:50] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 6188 
 	 [ServerAdmin : userquery]Training complete in 1.085062 real seconds 

DEBUG [2018-10-15 03:45:33] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 9008 
 	 [ServerAdmin : userquery]Training complete in 1.067148 real seconds 

DEBUG [2018-10-15 03:45:41] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 16144 
 	 [ServerAdmin : userquery]Training complete in 1.048226 real seconds 

DEBUG [2018-10-15 03:45:48] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 12804 
 	 [ServerAdmin : amountsend]Training complete in 1.049193 real seconds 

DEBUG [2018-10-15 03:47:39] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 13596 
 	 [ServerAdmin : userquery]Training complete in 1.089567 real seconds 

DEBUG [2018-10-15 03:47:46] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 9316 
 	 [ServerAdmin : amountsend]Training complete in 1.116022 real seconds 

DEBUG [2018-10-15 03:47:47] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11976 16364 
